Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,Salinity,Time,QC,QR,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,0,-0.53 ,0.49 ,0.3,0.15,0.25,0.4,0.1,0.25,0.25,0.2,,-15,0.5,0.3,0.1,6,2,0.431914565,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,0,0.07 ,-2.45 ,0.3,0.45,0.5,0.6,0,0,0.1,0.2,,-15,0.5,0.3,0,6,0,0.389075625,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,0,0.20 ,0.87 ,0.7,0.6,0.75,0.8,0.2,0.15,0.15,0.2,,-15,0.5,0.7,0.2,14,4,0.561444177,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,0,-0.77 ,0.88 ,0.25,0.5,0.4,0.4,0.1,0.15,0.15,0.1,,-15,0.5,0.25,0.1,5,2,0.336175601,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,0,-0.13 ,-1.53 ,0.45,0.65,0.5,0.6,0.2,0.15,0.25,0.1,,-15,0.5,0.45,0.2,9,4,0.453825843,,,ave,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,,,,,,,,,,,,,,,
-15,0,-0.33 ,-0.76 ,0.45,0.4,0.6,0.7,0.1,0.2,0.1,0.1,,-15,0.5,0.45,0.1,9,2,0.453825843,,,-15,0.41 ,0.46 ,0.50 ,0.58 ,0.12 ,0.15 ,0.17 ,0.15 ,,,,,,,,,,,,,,,,
-10,0,0.50 ,0.70 ,0.65,0.65,0.7,0.65,0,0,0.1,0.05,,-10,0.5,0.65,0,13,0,0.516588123,,,-10,0.37 ,0.49 ,0.54 ,0.52 ,0.18 ,0.23 ,0.23 ,0.25 ,,,,,,,,,,,,,,,,
-10,0,-0.57 ,2.04 ,0.6,0.7,0.85,0.65,0.1,0.2,0.35,0.25,,-10,0.5,0.6,0.1,12,2,0.522113705,,,-5,0.33 ,0.42 ,0.44 ,0.50 ,0.15 ,0.15 ,0.15 ,0.17 ,,,,,,,,,,,,,,,,
-10,0,-0.23 ,3.78 ,0.4,0.65,0.75,0.8,0.4,0.55,0.35,0.65,,-10,0.5,0.4,0.4,8,8,0.451544993,,,0,0.16 ,0.20 ,0.25 ,0.32 ,0.15 ,0.20 ,0.28 ,0.23 ,,,,,,,,,,,,,,,,
-10,0,-0.93 ,2.24 ,0.1,0.25,0.2,0.2,0.15,0.2,0.2,0.15,,-10,0.5,0.1,0.15,2,3,0.148434779,,,5,0.36 ,0.42 ,0.41 ,0.46 ,0.13 ,0.06 ,0.09 ,0.09 ,,,,,,,,,,,,,,,,
-10,0,-0.23 ,-1.51 ,0.2,0.3,0.3,0.4,0.35,0.3,0.3,0.2,,-10,0.5,0.2,0.35,4,7,0.294926104,,,10,0.30 ,0.33 ,0.48 ,0.51 ,0.08 ,0.09 ,0.08 ,0.12 ,,,,,,,,,,,,,,,,
-10,0,-0.20 ,1.37 ,0.25,0.4,0.45,0.4,0.1,0.15,0.05,0.2,,-10,0.5,0.25,0.1,5,2,0.332421421,,,15,0.28 ,0.38 ,0.48 ,0.56 ,0.12 ,0.09 ,0.13 ,0.13 ,,,,,,,,,,,,,,,,
