Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,water,Time,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.8,0.80 ,-3.06 ,0.15,0.3,0.4,0.25,0.05,0.15,0.1,0.15,,-0.8,0.5,0.15,0.05,3,1,0.953094316,,,ave,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,,,,,,,,,,,,,,,
0,-0.8,1.63 ,-4.86 ,0.15,0.4,0.5,0.55,0.25,0.1,0.3,0.4,,-0.8,0.5,0.15,0.25,3,5,0.912489289,,,0,3.17 ,,,,,,,,,,,,,,,,,,,,,,,
0,-0.8,1.17 ,-3.73 ,0.4,0.5,0.55,0.7,0.15,0.1,0.2,0.15,,-0.8,0.5,0.4,0.15,8,3,1.727149927,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.8,0.73 ,-2.70 ,0.15,0.45,0.5,0.55,0.2,0.05,0,0.1,,-0.8,0.5,0.15,0.2,3,4,0.87695144,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.8,0.97 ,-0.76 ,0.2,0.35,0.35,0.55,0.05,0.15,0.1,0.1,,-0.8,0.5,0.2,0.05,4,1,1.066968765,,,ave,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,,,,,,,,,,,,,,,
0,-0.8,0.50 ,-3.41 ,0.4,0.35,0.5,0.5,0.15,0.15,0.15,0.15,,-0.8,0.5,0.4,0.15,8,3,1.547508946,,,-0.8,0.24 ,0.39 ,0.47 ,0.52 ,0.14 ,0.12 ,0.14 ,0.18 ,,,,,,,,,,,,,,,,
0,-0.4,0.70 ,-1.85 ,0.25,0.35,0.3,0.5,0.15,0.3,0.25,0.1,,-0.8,1,0.3,0.15,6,3,1.29248125,,,-0.4,0.25 ,0.34 ,0.45 ,0.51 ,0.15 ,0.15 ,0.16 ,0.14 ,,,,,,,,,,,,,,,,
0,-0.4,1.00 ,-1.34 ,0.3,0.3,0.55,0.4,0.1,0.15,0.35,0.35,,-0.8,1,0.4,0.1,8,2,1.457093203,,,0,0.16 ,0.20 ,0.25 ,0.32 ,0.15 ,0.20 ,0.28 ,0.23 ,,,,,,,,,,,,,,,,
0,-0.4,0.87 ,3.83 ,0.45,0.25,0.5,0.65,0.1,0.05,0.05,0.05,,-0.8,1,0.5,0.1,10,2,1.570297268,,,0.4,0.18 ,0.24 ,0.30 ,0.32 ,0.08 ,0.15 ,0.17 ,0.21 ,,,,,,,,,,,,,,,,
0,-0.4,0.43 ,-3.35 ,0.25,0.45,0.45,0.5,0,0.1,0.05,0.05,,-0.8,1,0.45,0.05,9,1,1.539625391,,,0.8,0.25 ,0.25 ,0.26 ,0.24 ,0.16 ,0.26 ,0.41 ,0.39 ,,,,,,,,,,,,,,,,
0,-0.4,0.00 ,10.31 ,0.1,0.35,0.5,0.6,0.2,0.1,0.05,0.1,,-0.8,1,0.35,0.15,7,3,1.448135619,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.4,0.17 ,-3.35 ,0.15,0.35,0.4,0.4,0.35,0.2,0.2,0.2,,-0.8,1,0.35,0.15,7,3,1.235077906,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.27 ,0.62 ,0.15,0.2,0.25,0.3,0.2,0.15,0.2,0.2,,-0.8,1.5,0.4,0.1,8,2,1.292029674,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-0.17 ,1.08 ,0.3,0.3,0.35,0.35,0.15,0.3,0.4,0.2,,-0.8,1.5,0.5,0.3,10,6,1.402110708,,,std,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,,,,,,,,,,,,,,,
0,0,-0.50 ,2.48 ,0.15,0.2,0.15,0.4,0.15,0.2,0.3,0.3,,-0.8,1.5,0.55,0.2,11,4,1.460147835,,,-0.8,0.11 ,0.07 ,0.07 ,0.13 ,0.07 ,0.04 ,0.09 ,0.10 ,,,,,,,,,,,,,,,,
0,0,-0.37 ,3.31 ,0.15,0.2,0.1,0.25,0.1,0.15,0.25,0.25,,-0.8,1.5,0.5,0,10,0,1.285097209,,,-0.4,0.11 ,0.06 ,0.08 ,0.09 ,0.11 ,0.08 ,0.12 ,0.11 ,,,,,,,,,,,,,,,,
0,0,0.03 ,5.47 ,0.15,0.2,0.5,0.45,0.05,0.15,0.25,0.2,,-0.8,1.5,0.35,0.1,7,2,1.039591776,,,0,0.07 ,0.06 ,0.14 ,0.10 ,0.06 ,0.06 ,0.06 ,0.04 ,,,,,,,,,,,,,,,,
0,0,0.13 ,-2.47 ,0.05,0.1,0.15,0.15,0.25,0.25,0.3,0.2,,-0.8,1.5,0.5,0.15,10,3,1.247454653,,,0.4,0.10 ,0.07 ,0.08 ,0.12 ,0.07 ,0.10 ,0.05 ,0.06 ,,,,,,,,,,,,,,,,
0,0.4,-0.80 ,4.42 ,0.1,0.2,0.3,0.5,0,0.15,0.15,0.1,,-0.8,2,0.25,0.15,5,3,0.871933384,,,0.8,0.12 ,0.14 ,0.12 ,0.07 ,0.08 ,0.07 ,0.09 ,0.08 ,,,,,,,,,,,,,,,,
0,0.4,-0.20 ,2.53 ,0.15,0.35,0.4,0.4,0.2,0.25,0.15,0.2,,-0.8,2,0.55,0.4,11,8,1.382390069,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4,-0.40 ,2.61 ,0.4,0.3,0.3,0.25,0.05,0,0.1,0.2,,-0.8,2,0.7,0.15,14,3,1.639738513,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4,-0.07 ,3.68 ,0.15,0.2,0.3,0.35,0,0.1,0.25,0.3,,-0.8,2,0.55,0.1,11,2,1.489896102,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4,-0.03 ,-2.33 ,0.15,0.25,0.35,0.3,0.1,0.1,0.15,0.2,,-0.8,2,0.55,0.1,11,2,1.556625007,,,se,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,,,,,,,,,,,,,,,
0,0.4,0.00 ,3.44 ,0.1,0.15,0.15,0.1,0.15,0.3,0.2,0.25,,-0.8,2,0.5,0.15,10,3,1.772196759,,,-0.8,0.05 ,0.03 ,0.03 ,0.05 ,0.03 ,0.02 ,0.04 ,0.04 ,,,,,,,,,,,,,,,,
0,0.8,-1.13 ,2.41 ,0.25,0.3,0.3,0.2,0.05,0.25,0.25,0.3,,-0.4,0.5,0.25,0.15,5,3,,,,-0.4,0.05 ,0.02 ,0.03 ,0.04 ,0.04 ,0.03 ,0.05 ,0.04 ,,,,,,,,,,,,,,,,
0,0.8,-0.90 ,2.81 ,0.4,0.5,0.5,0.3,0.25,0.35,0.55,0.35,,-0.4,0.5,0.3,0.1,6,2,,,,0,0.03 ,0.02 ,0.06 ,0.04 ,0.03 ,0.02 ,0.03 ,0.02 ,,,,,,,,,,,,,,,,
0,0.8,-0.20 ,2.23 ,0.4,0.3,0.25,0.2,0.15,0.15,0.45,0.55,,-0.4,0.5,0.45,0.1,9,2,,,,0.4,0.04 ,0.03 ,0.03 ,0.05 ,0.03 ,0.04 ,0.02 ,0.02 ,,,,,,,,,,,,,,,,
0,0.8,-0.77 ,2.00 ,0.1,0.2,0.2,0.35,0.2,0.25,0.45,0.35,,-0.4,0.5,0.25,0,5,0,,,,0.8,0.05 ,0.06 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,,,,,,,,,,,,,,,,
0,0.8,-0.75 ,4.51 ,0.15,0.1,0.1,0.25,0.05,0.2,0.35,0.4,,-0.4,0.5,0.1,0.2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
